Nom;Prenom;Description;Departement;N° Interne;Bureau
CESA;Kylian;Ingénieur;Recherche/R&D;356;Bureau 17
CHAPELLE;Mickey;Assistant RH;Gestion du personnel/Ressources humaines;305;Bureau 10
CHEVALIER;Gilles;Commercial;Sédentaires/Commerciaux;384;Bureau 23
CHIARELLI;Geoffrey;Technicien;Techniciens/Technique;465;Bureau 26
CHIF;Logan;Technicien;Techniciens/Technique;466;Bureau 26
CHRISTIAN NURIA DANDJA;Oriane;Commercial;Achat/Technique;263;Bureau 1
COLLIN;Ilenia;Vendeur;Site3/Marketting;426;Site 3
COLPIN;Loïc;Vendeur;Site2/Marketting;410;Site 2
CONSTANT;Sacha;Assistant RH;Recrutement/Ressources humaines;364;Bureau 19
COOSEMANS;Julien;Commercial;Achat/Technique;266;Bureau 2
CORDIER;Robert;Vendeur;Site4/Marketting;444;Site 4
CORNIL;Lorient;Vendeur;Site1/Marketting;389;Site 1
CORNU;Aurélien;Informaticien;Systèmes/Informatique;456;Bureau 25
COUGNET;Crimaud;Informaticien;HotLine/Informatique;331;Bureau 13
CRAEYE;Geoffrey;Comptable;Comptabilité/Finances;276;Bureau 3
CUTAIA;Romain;Commercial;Achat/Technique;264;Bureau 1
CUYPERS;Gontran;Assistant RH;Recrutement/Ressources humaines;363;Bureau 19
DE COEN;Iliesse;Informaticien;Développement/Informatique;294;Bureau 7
DEBUSSCHERE;Florian;Technico-commercial;Technico/Commerciaux;476;Bureau 23
DEDOBBELEER;Guillaume;Informaticien;HotLine/Informatique;327;Bureau 13
DELCAMPE;Florent;Informaticien;HotLine/Informatique;324;Bureau 13
DELFORGE;Morison;Commercial;Sédentaires/Commerciaux;378;Bureau 23
DELFOSSE;Valentin;Commercial;Achat/Technique;268;Bureau 2
DELHAYE;Adrien;Informaticien;HotLine/Informatique;323;Bureau 13
DELLA GIUSTINA;Nathan;Informaticien;Systèmes/Informatique;452;Bureau 25
DELPLACE;Gilian;Informaticien;Développement/Informatique;298;Bureau 8
DELVAUX;Marie Pascal;Informaticien;Développement/Informatique;292;Bureau 6
DEMAN;Stelio;Commercial;Achat/Technique;273;Bureau 2
DENAYER;Dougan;Assistant RH;Recrutement/Ressources humaines;373;Bureau 22
DENEYER;Rémy;Vendeur;Site3/Marketting;428;Site 3
DEPUERS;Dhélya;Informaticien;Systèmes/Informatique;448;Bureau 24
DEQUECKER;Jordan;Vendeur;Site2/Marketting;409;Site 2
DEQUECKER;Corentin;Vendeur;Site2/Marketting;411;Site 2
DERYCKE;Amaury;Technicien;Techniciens/Technique;472;Bureau 27
DESAIVE;Maxime;Ingénieur;Recherche/R&D;359;Bureau 18
DETRY;Gilles;Technicien;Techniciens/Technique;467;Bureau 27
DEVLEESCHOUWER;Loris;Financier;Investissements/Finances;340;Bureau 14
DEWEER;Youri;Assistant RH;Recrutement/Ressources humaines;366;Bureau 20
DEWEZ;Florent;Technicien;Techniciens/Technique;463;Bureau 26
DEWULF;Walter;Financier;Investissements/Finances;333;Bureau 14
DGUS;Jordan;Commercial;Sédentaires/Commerciaux;382;Bureau 23
DHAEYER;Nicolas;Vendeur;Site3/Marketting;425;Site 3
DHONT;François;Informaticien;Systèmes/Informatique;455;Bureau 25
DI SILVESTRO;Antoine;Technico-commercial;Technico/Commerciaux;475;Bureau 23
DIAMANTIS;William Stéphane;Technico-commercial;Technico/Commerciaux;477;Bureau 23
DONMEZ;Elea;Vendeur;Site1/Marketting;397;Site 1
DOUILLEZ;Loïc;Technico-commercial;Technico/Commerciaux;485;Bureau 23
DOYEZ;Jason;Ingénieur;Recherche/R&D;350;Bureau 16
DROUBA;Jonas;Technicien;Techniciens/Technique;464;Bureau 26
DUBOIS;Kyle;Informaticien;Développement/Informatique;291;Bureau 6
DUBOIS;Quentin;Informaticien;HotLine/Informatique;329;Bureau 13
DUBOIS;Thomas;Ingénieur;Recherche/R&D;347;Bureau 16
DUBUISSON;Ludivine;Vendeur;Site2/Marketting;415;Site 2
DUEZ;Andrew;Assistant RH;Recrutement/Ressources humaines;370;Bureau 22
DUEZ;Rodrigue;Vendeur;Site4/Marketting;437;Site 4
DUHAUBOIS;Fayçal;Assistant RH;Gestion du personnel/Ressources humaines;312;Bureau 11
DUPONT;Arnaud;Vendeur;Site2/Marketting;406;Site 2
DURENNE;Sébastien;Vendeur;Site1/Marketting;402;Site 1
EGELS;Théo;Comptable;Comptabilité/Finances;275;Bureau 3
EL MOUBACHAR;Sophiën;Ingénieur;Testing/R&D;491;Bureau 28
EL MOUHAFIDI;Tamila;Informaticien;Développement/Informatique;295;Bureau 7
ENGELEN;Julien;Vendeur;Site3/Marketting;417;Site 3
ENNYA;Christopher;Commercial;Sédentaires/Commerciaux;383;Bureau 23
EROGLU;Alexandro;Informaticien;Systèmes/Informatique;451;Bureau 24
FAIDHERBE;Martin;Vendeur;Site2/Marketting;407;Site 2
FAIGNART;Robin;Ingénieur;Recherche/R&D;351;Bureau 16
FAVIER;Quentin;Informaticien;Développement/Informatique;288;Bureau 6
FLORENTINO;Vivien;Informaticien;Systèmes/Informatique;450;Bureau 24
FRAGAPANE;Michael;Vendeur;Site2/Marketting;403;Site 2
FRANCOIS;Loïck;Vendeur;Site4/Marketting;436;Site 4
GALAND;Louis-Michel;Ingénieur;Recherche/R&D;355;Bureau 17
GHAZALI;Petros;Financier;Investissements/Finances;341;Bureau 14
GILMONT;Chérif;Vendeur;Site3/Marketting;418;Site 3
GLINKA;Céline;Commercial;Sédentaires/Commerciaux;388;Bureau 23
GUDIN;Maxime;Vendeur;Site1/Marketting;396;Site 1
GUGLIELMI;Florent;Vendeur;Site3/Marketting;421;Site 3
GUILLAUME;Jordan;Financier;Investissements/Finances;338;Bureau 14
HABRANC;Abygaëlle;Assistant RH;Recrutement/Ressources humaines;368;Bureau 20
HAUBE;Nathan;Ingénieur;Recherche/R&D;353;Bureau 17
HAUBRUGE;Marwan;Vendeur;Site1/Marketting;391;Site 1
HELLINCKX;Vincenzo;Vendeur;Site1/Marketting;398;Site 1
HELLINCKX;Cyril;Technico-commercial;Technico/Commerciaux;484;Bureau 23
HERNOULD;Ludovic;Financier;Investissements/Finances;344;Bureau 15
HEYNEN;Robin;Assistant RH;Recrutement/Ressources humaines;369;Bureau 20
HIGUERAS LOZANO;Jérémy;Comptable;Comptabilité/Finances;277;Bureau 3
HOUCHARD;Corentin;Informaticien;Systèmes/Informatique;458;Bureau 25
HUSTIN;Malcolm;Ingénieur;Recherche/R&D;349;Bureau 16
ILIC;Adrien;Informaticien;Développement/Informatique;293;Bureau 7
IPPOLITO;Flavien;Technicien;Techniciens/Technique;473;Bureau 27
IRAKOZE;Axel;Commercial;Achat/Technique;260;Bureau 1
JANSSENS;Logan;Vendeur;Site1/Marketting;399;Site 1
JELWAN;Kevin;Informaticien;HotLine/Informatique;322;Bureau 13
JOSEPH;Sammy;Commercial;Achat/Technique;270;Bureau 2
KENFACK DEMANOU;Loïc;Informaticien;Systèmes/Informatique;447;Bureau 24
KENGNE;Aude;Comptable;Comptabilité/Finances;284;Bureau 5
KERDRAON;Jason;Comptable;Comptabilité/Finances;279;Bureau 3
KOUEGAN;Joyce;Technico-commercial;Technico/Commerciaux;481;Bureau 23
KOWAL;Yan;Commercial;Sédentaires/Commerciaux;387;Bureau 23
KUNTONDA-LUEZI;Pol;Secrétaire;Direction;304;Direction
KUPPENS;Nicola;Technicien;Techniciens/Technique;461;Bureau 26
LACROIX;Dylan;Assistant RH;Recrutement/Ressources humaines;374;Bureau 22
LAZZARO;Grégoire;Commercial;Sédentaires/Commerciaux;377;Bureau 23
LEBLON;Simon;Assistant RH;Recrutement/Ressources humaines;362;Bureau 19
LEBRUN;Jérôme;Informaticien;Développement/Informatique;301;Bureau 9
LECHENE;Dimitri;Commercial;Achat/Technique;272;Bureau 2
LECOMTE;Louis;Informaticien;HotLine/Informatique;328;Bureau 13
LECOMTE;Cyril;Ingénieur;Testing/R&D;497;Bureau 29
LEFEVRE;Martin;Commercial;Sédentaires/Commerciaux;381;Bureau 23
LEMAIRE;Hermann;Assistant RH;Recrutement/Ressources humaines;361;Bureau 19
LETIST;Aymard;Vendeur;Site1/Marketting;400;Site 1
LIÉNARD;Arno;Vendeur;Site4/Marketting;440;Site 4
LIESSI;Patient;Financier;Investissements/Finances;343;Bureau 15
LOISEAU;Mathieu;Technico-commercial;Technico/Commerciaux;474;Bureau 23
LUZOLO BAKETA;Xavier;Ingénieur;Recherche/R&D;357;Bureau 17
MAHIEU;Antoine;Vendeur;Site3/Marketting;420;Site 3
MAHIEU;Corentin;Vendeur;Site4/Marketting;431;Site 4
MAJCEN;Aurélie;Assistant RH;Recrutement/Ressources humaines;372;Bureau 22
MALAISE;Emmanuel;Informaticien;Développement/Informatique;289;Bureau 6
MARCEL;Romain;Assistant RH;Gestion du personnel/Ressources humaines;315;Bureau 12
MARGIOTTA;Dove;Financier;Investissements/Finances;337;Bureau 14
MARTENS;Florence;Assistant RH;Gestion du personnel/Ressources humaines;318;Bureau 12
MATHIEU;Killian;Vendeur;Site2/Marketting;405;Site 2
MAZI;Carmelo;Assistant RH;Recrutement/Ressources humaines;365;Bureau 19
MEKHALFIA;Glenn;Informaticien;Développement/Informatique;297;Bureau 8
MELLEMANS;Hamit;Vendeur;Site1/Marketting;394;Site 1
MERCIER;Benjamin;Commercial;Achat/Technique;271;Bureau 2
MERCIER;Selim;Commercial;Sédentaires/Commerciaux;385;Bureau 23
MERCIER;Quentin;Technicien;Techniciens/Technique;469;Bureau 27
MEUNIER;Jason;Commercial;Achat/Technique;267;Bureau 2
MICHEL;Mohamed;Informaticien;Systèmes/Informatique;453;Bureau 25
MIRABILE;Dimitry;Informaticien;Systèmes/Informatique;454;Bureau 25
MIRALLES RAMOS;Paulin Arnauld;Ingénieur;Testing/R&D;494;Bureau 28
MOLINA POLO;Xavier;Vendeur;Site4/Marketting;433;Site 4
MORENO ROMERO;Yoann;Technico-commercial;Technico/Commerciaux;478;Bureau 23
MOUAICI;Axelle;Financier;Investissements/Finances;345;Bureau 15
MULDERS;Lucas;Financier;Investissements/Finances;336;Bureau 14
NASELLO;Joachim;Technico-commercial;Technico/Commerciaux;480;Bureau 23
NDEPPÉ;Guillaume;Assistant RH;Gestion du personnel/Ressources humaines;309;Bureau 10
NETTARI;Sarah;Technico-commercial;Technico/Commerciaux;487;Bureau 23
NGABO ALBANO;Brandon;Ingénieur;Testing/R&D;488;Bureau 28
NGONGANG MEPPA;Jérémy;Commercial;Sédentaires/Commerciaux;379;Bureau 23
NIRSA;Sylvain;Comptable;Comptabilité/Finances;278;Bureau 3
NJANTOU BABOU;Martin;Commercial;Sédentaires/Commerciaux;376;Bureau 23
NYA;Jean-Jacques;Vendeur;Site2/Marketting;404;Site 2
ORYA;Alexis;Commercial;Achat/Technique;261;Bureau 1
PALMERI;Florent;Financier;Investissements/Finances;346;Bureau 15
PARFAIT;Julien;Comptable;Comptabilité/Finances;285;Bureau 5
PARIS;Jason;Financier;Investissements/Finances;334;Bureau 14
PASTORANI;Massimo;Comptable;Comptabilité/Finances;282;Bureau 4
PERIN;Nicolas;Vendeur;Site3/Marketting;423;Site 3
PICRON;Anthony;Assistant RH;Gestion du personnel/Ressources humaines;310;Bureau 11
PIREZ;Caneyli;Commercial;Sédentaires/Commerciaux;375;Bureau 23
PONSARD;Jonathan;Assistant RH;Gestion du personnel/Ressources humaines;314;Bureau 12
POPULAIRE;Nathan;Technico-commercial;Technico/Commerciaux;486;Bureau 23
POULAERT;Bastien;Commercial;Sédentaires/Commerciaux;380;Bureau 23
POUPON;Luca;Vendeur;Site4/Marketting;435;Site 4
POURBAIX;Loïc;Vendeur;Site1/Marketting;390;Site 1
PULULU NTUMBA;Jordan;Comptable;Comptabilité/Finances;280;Bureau 4
PUTZOLU;Benjamin;Vendeur;Site4/Marketting;438;Site 4
QUENON;Oriano;Informaticien;HotLine/Informatique;325;Bureau 13
QUICKEN;Victor;Informaticien;HotLine/Informatique;321;Bureau 13
RAMUNDI;Alexis;Technicien;Techniciens/Technique;470;Bureau 27
REKINGER;Ludovic;Informaticien;HotLine/Informatique;320;Bureau 13
RENZETTI;Thomas;Ingénieur;Testing/R&D;498;Bureau 29
Rodrigues Pereira Farinha;Julien;Administrateur;Direction;303;Direction
RONVAUX;Youness;Ingénieur;Recherche/R&D;348;Bureau 16
SACÉPÉ;Abdulrazak;Vendeur;Site4/Marketting;432;Site 4
SADKI;Boris;Ingénieur;Testing/R&D;495;Bureau 28
SAROT;Damien;Ingénieur;Testing/R&D;492;Bureau 28
SARTI;Quentin;Vendeur;Site2/Marketting;414;Site 2
SETTIMIO;Nathan;Assistant RH;Gestion du personnel/Ressources humaines;308;Bureau 10
SEUDIEU;Julien;Technico-commercial;Technico/Commerciaux;479;Bureau 23
SOHIER;Aris;Comptable;Comptabilité/Finances;281;Bureau 4
SOTTIAUX;Sylvain;Ingénieur;Testing/R&D;501;Bureau 29
SPILBORGHS;Thibaut;Assistant RH;Recrutement/Ressources humaines;367;Bureau 20
STASSIN;Jason;Vendeur;Site1/Marketting;392;Site 1
STEVANONI;Logan;Assistant RH;Gestion du personnel/Ressources humaines;307;Bureau 10
Talhaoui;Gaël;Directeur;Direction;302;Direction
TANGHE;Céline;Informaticien;HotLine/Informatique;330;Bureau 13
TAUSSIN;Bradley;Technicien;Techniciens/Technique;468;Bureau 27
TCHOUPI;Soukaïna;Informaticien;Développement/Informatique;290;Bureau 6
TCHUISSI;Jason;Ingénieur;Recherche/R&D;360;Bureau 18
TEKAM;Marvyn;Commercial;Achat/Technique;269;Bureau 2
TERRANOVA;Guillaume;Vendeur;Site4/Marketting;443;Site 4
THALIS;Sarah;Technicien;Techniciens/Technique;460;Bureau 26
THIBAUT;Stevy;Vendeur;Site4/Marketting;439;Site 4
TIELEMANS;Alberto;Ingénieur;Testing/R&D;489;Bureau 28
TOLLET;Benjamin;Financier;Investissements/Finances;342;Bureau 14
TOPAL;Jason;Informaticien;Systèmes/Informatique;449;Bureau 24
TRICOLI;Alain;Technicien;Techniciens/Technique;471;Bureau 27
TRINCHESE;Alessio;Informaticien;Systèmes/Informatique;445;Bureau 24
TSIRIMIKOS;Lionel;Comptable;Comptabilité/Finances;287;Bureau 5
VAESKEN;François;Vendeur;Site3/Marketting;429;Site 3
VAN DAMME;Florian;Vendeur;Site4/Marketting;434;Site 4
VAN SAN;Julien;Technico-commercial;Technico/Commerciaux;482;Bureau 23
VANDERVEKEN;Audric;Vendeur;Site2/Marketting;408;Site 2
VERBORGH;Alexander;Informaticien;Systèmes/Informatique;446;Bureau 24
VERHAVERBEKE;Maxime;Ingénieur;Testing/R&D;493;Bureau 28
VEYS;Cyril;Vendeur;Site4/Marketting;442;Site 4
VISEUR;Francisco;Vendeur;Site3/Marketting;427;Site 3
WADOWSKI;Arnaud;Comptable;Comptabilité/Finances;274;Bureau 3
WAERENBURGH;Florent;Vendeur;Site2/Marketting;412;Site 2
YOUSMI;Tatiana;Ingénieur;Testing/R&D;490;Bureau 28
ZEH NKPWELE;Valentin;Technicien;Techniciens/Technique;462;Bureau 26
ZICARI;Benoît;Assistant RH;Gestion du personnel/Ressources humaines;313;Bureau 11
